,Code,Year,govtExpend,privateShare,Entity,primaryEnrollment,pop
1246,POL,2007,11.26715,2.04711008071899,Poland,96.67642211914058,38353000.0
1247,POL,2008,11.37921,2.28927993774414,Poland,96.8562164306641,38357000.0
1248,POL,2009,11.07648,2.60702991485596,Poland,97.631103515625,38352000.0
1249,POL,2010,11.064639999999999,2.8384199142456095,Poland,98.6219024658203,38330000.0
1250,POL,2011,10.984860000000001,3.0275700092315696,Poland,99.4832229614258,38287000.0
1251,POL,2012,11.22697,3.3952100276947004,Poland,101.52027130126999,38227000.0
1252,POL,2013,11.59794,4.05499982833862,Poland,101.310562133789,38158000.0
1253,PRT,1987,7.1978002000000005,7.150090217590329,Portugal,128.579147338867,9914000.0
1254,PRT,1990,10.24717,6.07862997055054,Portugal,122.090942382813,9895000.0
1255,PRT,1991,10.99433,6.669970035552981,Portugal,119.86731719970699,9916000.0
1256,PRT,1992,10.56231,7.749829769134519,Portugal,122.42254638671899,9951000.0
1257,PRT,1993,10.50773,7.76679992675781,Portugal,120.19715118408199,9997000.0
1258,PRT,1994,10.89423,7.843279838562009,Portugal,121.29525756835899,10045000.0
1259,PRT,1999,11.86899,9.392680168151859,Portugal,122.22061157226601,10255000.0
1260,PRT,2000,12.05288,9.64529991149902,Portugal,123.211967468262,10297000.0
1261,PRT,2001,12.09582,9.96100997924805,Portugal,123.05393218994101,10341000.0
1262,PRT,2002,11.9002,10.4913597106934,Portugal,119.168746948242,10386000.0
1263,PRT,2003,11.65633,10.5361299514771,Portugal,119.644813537598,10430000.0
1264,PRT,2004,10.96746,10.4957799911499,Portugal,118.792518615723,10471000.0
1265,PRT,2005,10.85812,10.552530288696301,Portugal,118.335647583008,10508000.0
1266,PRT,2006,10.87095,10.850600242614698,Portugal,118.26628112793001,10543000.0
1267,PRT,2007,11.0547,11.0786800384521,Portugal,117.303367614746,10573000.0
1268,PRT,2008,10.371830000000001,10.945289611816401,Portugal,116.011489868164,10595000.0
1269,PRT,2009,11.074810000000001,11.521900177002001,Portugal,113.50949859619101,10604000.0
1270,PRT,2010,10.42656,11.806170463562,Portugal,111.94702911376999,10596000.0
1271,PRT,2011,10.239230000000001,12.0226402282715,Portugal,111.164581298828,10569000.0
1272,PRT,2012,10.19303,12.0271501541138,Portugal,110.008628845215,10526000.0
1273,PRT,2013,10.568480000000001,11.9357299804688,Portugal,109.920776367188,10473000.0
1274,PRT,2014,9.905690199999999,12.0751399993896,Portugal,108.511558532715,10418000.0
1275,QAT,1998,7.843699900000001,38.0992088317871,Qatar,107.434638977051,552000.0
1276,QAT,1999,9.5266304,37.272300720214794,Qatar,106.7958984375,570000.0
1277,QAT,2000,9.676050199999999,38.2432403564453,Qatar,104.890068054199,592000.0
1278,QAT,2001,10.55131,39.2891998291016,Qatar,105.529457092285,615000.0
1279,QAT,2002,12.00746,41.1734504699707,Qatar,110.74057006835899,641000.0
1280,QAT,2003,10.70006,43.02799987792971,Qatar,113.45451354980499,682000.0
1281,QAT,2004,12.05313,41.7453384399414,Qatar,106.063461303711,753000.0
1282,QAT,2005,13.744760000000001,45.2943916320801,Qatar,102.585487365723,865000.0
1283,QAT,2008,15.055520000000001,50.344970703125,Qatar,95.1559066772461,1437000.0
1284,QAT,2009,14.83565,54.4001388549805,Qatar,97.3568878173828,1655000.0
1285,QAT,2010,13.81727,55.4681396484375,Qatar,97.4153671264648,1856000.0
1286,QAT,2011,13.10685,56.666839599609396,Qatar,101.36383056640601,2036000.0
1287,ROU,2001,9.848819699999998,0.0786100029945374,Romania,97.7958984375,21989000.0
1288,ROU,2002,10.92235,0.153400003910065,Romania,100.766006469727,21853000.0
1289,ROU,2003,11.13906,0.118089996278286,Romania,104.45568084716801,21720000.0
1290,ROU,2004,9.8433104,0.15165999531745902,Romania,110.99639892578101,21578000.0
1291,ROU,2005,10.83668,0.18726000189781197,Romania,108.686080932617,21417000.0
1292,ROU,2006,12.719619999999999,0.231209993362427,Romania,104.765327453613,21234000.0
1293,ROU,2007,12.00496,0.32728999853134194,Romania,103.20362091064501,21034000.0
1294,ROU,2008,11.61622,0.31692999601364097,Romania,97.8932876586914,20830000.0
1295,ROU,2009,11.021289999999999,0.319389998912811,Romania,97.65133666992192,20638000.0
1296,ROU,2010,9.129130400000001,0.331620007753372,Romania,97.2642135620117,20472000.0
1297,ROU,2011,8.3297796,0.34130001068115196,Romania,96.5918807983398,20337000.0
1298,ROU,2012,8.4357901,0.377669990062714,Romania,95.54051971435551,20227000.0
1299,RUS,2000,8.951849900000001,0.296499997377396,Russia,102.78601837158199,146404992.0
1300,RUS,2001,9.213359800000001,0.350050002336502,Russia,106.09269714355499,145831008.0
1301,RUS,2002,10.583839999999999,0.392720013856888,Russia,113.962089538574,145216000.0
1302,RUS,2003,10.53169,0.429729998111725,Russia,121.08055877685499,144611008.0
1303,RUS,2005,11.950569999999999,0.49665001034736606,Russia,95.2700424194336,143672000.0
1304,RUS,2006,12.4258,0.5535600185394289,Russia,95.0465621948242,143403008.0
1305,RUS,2008,11.95923,0.614400029182434,Russia,97.5196533203125,143248992.0
1306,RUS,2012,11.14676,0.678059995174408,Russia,101.195411682129,143994000.0
1307,RWA,2007,17.786551,1.6841299533844,Rwanda,145.85139465332,9274000.0
1308,RWA,2008,15.591510000000001,2.10855007171631,Rwanda,143.384216308594,9525000.0
