,Year,Code,Entity,hSpendPerCap,pop,pocketHExp,lifeExp
223,1996,CPV,Cape Verde,94.66525595,396000.0,17.01601234,66.596
224,1996,CRI,Costa Rica,409.19949047,3632000.0,20.8556506,76.765
225,1996,CUB,Cuba,383.93249009,10939000.0,9.50570342,75.686
226,1996,CYP,Cyprus,822.71934658,873000.0,64.86436472,77.456
227,1996,CZE,Czechia,915.39701048,10350000.0,9.33247151,73.676
228,1996,DEU,Germany,2407.36796411,81324000.0,9.85056466,76.891
229,1996,DJI,Djibouti,64.88623977,644000.0,41.08829842,57.05
230,1996,DMA,Dominica,320.67107657,71000.0,27.48958453,73.857
231,1996,DNK,Denmark,1980.20178517,5255000.0,16.23188076,75.82
232,1996,DOM,Dominican Republic,245.21625241,7953000.0,56.99655914,68.425
233,1996,DZA,Algeria,236.52961023,29266000.0,24.39843603,68.919
234,1996,ECU,Ecuador,213.76240478,11703000.0,29.81715497,71.348
235,1996,EGY,Egypt,209.32875129,63602000.0,54.23185698,67.249
236,1996,ERI,Eritrea,44.83989001,2196000.0,63.42546625,52.938
237,1996,ESP,Spain,1248.8621397,39909000.0,23.18998853,78.405
238,1996,EST,Estonia,453.3089541,1418000.0,11.49237895,68.883
239,1996,ETH,Ethiopia,13.58443697,58884000.0,48.59562097,49.81
240,1996,FIN,Finland,1550.46608208,5137000.0,22.65846387,76.735
241,1996,FJI,Fiji,152.86477419,784000.0,12.19755467,65.175
242,1996,FRA,France,2162.51616018,58012000.0,7.32264772,78.12
243,1996,FSM,Micronesia (country),196.28715062,108000.0,5.67740653,64.12100000000001
244,1996,GAB,Gabon,499.88667108,1113000.0,51.86532492,59.854
245,1996,GBR,United Kingdom,1435.6061148000001,58114000.0,10.991907000000001,76.88600000000001
246,1996,GEO,Georgia,134.82326107,4847000.0,88.32973618,69.635
247,1996,GHA,Ghana,86.4727978,17463000.0,26.44556707,57.36600000000001
248,1996,GIN,Guinea,24.55273331,7464000.0,66.33729793,51.727
249,1996,GMB,Gambia,35.97532187,1164000.0,39.47215453,54.29600000000001
250,1996,GNB,Guinea-Bissau,109.92577676,1111000.0,40.90646219,48.973
251,1996,GNQ,Equatorial Guinea,94.30473118,516000.0,38.45750986,51.659
252,1996,GRC,Greece,1303.37104317,10832000.0,42.200308899999996,77.923
253,1996,GRD,Grenada,401.83461767,101000.0,56.61173833,71.673
254,1996,GTM,Guatemala,161.81239488,10647000.0,57.04601473,65.678
255,1996,GUY,Guyana,179.05971116,761000.0,16.07033611,64.255
256,1996,HND,Honduras,124.68076507,5875000.0,45.14422242,69.28399999999999
257,1996,HRV,Croatia,628.11993976,4575000.0,12.42189279,74.041
258,1996,HTI,Haiti,60.57961728,7887000.0,51.54639175,56.121
259,1996,HUN,Hungary,657.39836598,10332000.0,18.39613137,70.328
260,1996,IDN,Indonesia,94.19598082,199900992.0,46.37424473,64.637
261,1996,IND,India,62.84073218,982364992.0,67.51286247,60.783
262,1996,IRL,Ireland,1275.67983221,3620000.0,15.530876500000002,75.803
263,1996,IRN,Iran,303.76770579,62295000.0,51.12840179,68.791
264,1996,ISL,Iceland,1973.44258315,270000.0,16.7470606,78.907
265,1996,ISR,Israel,1524.60793553,5424000.0,23.88851954,77.98100000000001
266,1996,ITA,Italy,1631.75766126,57065000.0,26.7794578,78.378
267,1996,JAM,Jamaica,299.29538423,2559000.0,23.96104315,74.167
268,1996,JOR,Jordan,478.62199035,4733000.0,26.02591436,71.053
269,1996,JPN,Japan,1567.22639237,126644000.0,14.02647129,80.16199999999999
270,1996,KAZ,Kazakhstan,263.64003174,15632000.0,35.93699437,63.522
271,1996,KEN,Kenya,68.76828068,28589000.0,47.38207064,52.708999999999996
272,1996,KGZ,Kyrgyzstan,75.18606212,4629000.0,51.95195221,65.997
273,1996,KHM,Cambodia,61.95748636,10983000.0,63.90007157,55.653
274,1996,KIR,Kiribati,100.67305171,79000.0,0.11339799,61.86600000000001
275,1996,KNA,Saint Kitts and Nevis,775.35782301,42000.0,45.50172888,69.335
276,1996,KOR,South Korea,560.71614077,45751000.0,50.52190947,74.337
277,1996,KWT,Kuwait,2061.89390112,1627000.0,19.27669708,72.852
278,1996,LAO,Laos,57.22401582,4951000.0,45.67473696,56.44
279,1996,LBN,Lebanon,1204.8678562,3611000.0,50.74322057,72.57600000000001
280,1996,LBY,Libya,614.01966652,5036000.0,50.36729438,70.169
281,1996,LCA,Saint Lucia,483.25493616,149000.0,49.13164564,72.547
282,1996,LKA,Sri Lanka,107.24935925,18367000.0,46.80562872,69.237
283,1996,LSO,Lesotho,84.61935518,1934000.0,39.54265657,54.333999999999996
284,1996,LTU,Lithuania,371.16640228,3604000.0,26.17838842,69.90899999999999
285,1996,LUX,Luxembourg,2292.58526631,414000.0,7.19694424,76.62
286,1996,LVA,Latvia,250.08745953,2479000.0,41.486803,68.07600000000001
287,1996,MAR,Morocco,110.56103664,27383000.0,52.07238994,67.175
288,1996,MCO,Monaco,2379.84524714,31000.0,7.0,78.352
289,1996,MDA,Moldova,159.24304264,4316000.0,27.42745507,66.76100000000001
290,1996,MDG,Madagascar,46.54555874,13903000.0,44.22012445,55.43
291,1996,MDV,Maldives,178.04552106,259000.0,20.72557448,66.78399999999999
292,1996,MEX,Mexico,362.17247049,93147000.0,56.62134517,72.925
293,1996,MHL,Marshall Islands,449.72233398,51000.0,10.777400300000002,66.565
294,1996,MKD,North Macedonia,441.61783983,1989000.0,40.31815291,72.309
295,1996,MLI,Mali,65.1248839,9838000.0,60.40716131,46.658
296,1996,MLT,Malta,927.4341317,380000.0,28.52587574,78.348
297,1996,MMR,Myanmar,13.95309963,44452000.0,83.67711517,58.78
298,1996,MNE,Montenegro,421.63300087,620000.0,30.10161794,73.845
